id,subject,topic,title,description,resource_link,resource_type
1,Math,Derivatives,Derivatives Tutorial 1,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/0,practice
2,Math,Derivatives,Derivatives Tutorial 2,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/1,article
3,Math,Derivatives,Derivatives Tutorial 3,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/2,video
4,Math,Derivatives,Derivatives Tutorial 4,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/3,video
5,Math,Derivatives,Derivatives Tutorial 5,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/4,video
6,Math,Derivatives,Derivatives Tutorial 6,Complete explanation of Derivatives concepts for beginners,https://example.com/derivatives/5,video
7,Math,Integrals,Integrals Tutorial 1,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/0,article
8,Math,Integrals,Integrals Tutorial 2,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/1,video
9,Math,Integrals,Integrals Tutorial 3,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/2,article
10,Math,Integrals,Integrals Tutorial 4,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/3,practice
11,Math,Integrals,Integrals Tutorial 5,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/4,practice
12,Math,Integrals,Integrals Tutorial 6,Complete explanation of Integrals concepts for beginners,https://example.com/integrals/5,practice
13,Math,Linear Algebra,Linear Algebra Tutorial 1,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/0,article
14,Math,Linear Algebra,Linear Algebra Tutorial 2,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/1,practice
15,Math,Linear Algebra,Linear Algebra Tutorial 3,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/2,video
16,Math,Linear Algebra,Linear Algebra Tutorial 4,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/3,practice
17,Math,Linear Algebra,Linear Algebra Tutorial 5,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/4,article
18,Math,Linear Algebra,Linear Algebra Tutorial 6,Complete explanation of Linear Algebra concepts for beginners,https://example.com/linear_algebra/5,article
19,Math,Probability,Probability Tutorial 1,Complete explanation of Probability concepts for beginners,https://example.com/probability/0,video
20,Math,Probability,Probability Tutorial 2,Complete explanation of Probability concepts for beginners,https://example.com/probability/1,video
21,Math,Probability,Probability Tutorial 3,Complete explanation of Probability concepts for beginners,https://example.com/probability/2,video
22,Math,Probability,Probability Tutorial 4,Complete explanation of Probability concepts for beginners,https://example.com/probability/3,video
23,Math,Probability,Probability Tutorial 5,Complete explanation of Probability concepts for beginners,https://example.com/probability/4,video
24,Math,Probability,Probability Tutorial 6,Complete explanation of Probability concepts for beginners,https://example.com/probability/5,video
25,Math,Trigonometry,Trigonometry Tutorial 1,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/0,article
26,Math,Trigonometry,Trigonometry Tutorial 2,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/1,video
27,Math,Trigonometry,Trigonometry Tutorial 3,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/2,video
28,Math,Trigonometry,Trigonometry Tutorial 4,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/3,video
29,Math,Trigonometry,Trigonometry Tutorial 5,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/4,video
30,Math,Trigonometry,Trigonometry Tutorial 6,Complete explanation of Trigonometry concepts for beginners,https://example.com/trigonometry/5,video
31,Physics,Newton Laws,Newton Laws Tutorial 1,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/0,practice
32,Physics,Newton Laws,Newton Laws Tutorial 2,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/1,video
33,Physics,Newton Laws,Newton Laws Tutorial 3,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/2,practice
34,Physics,Newton Laws,Newton Laws Tutorial 4,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/3,practice
35,Physics,Newton Laws,Newton Laws Tutorial 5,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/4,practice
36,Physics,Newton Laws,Newton Laws Tutorial 6,Complete explanation of Newton Laws concepts for beginners,https://example.com/newton_laws/5,article
37,Physics,Thermodynamics,Thermodynamics Tutorial 1,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/0,article
38,Physics,Thermodynamics,Thermodynamics Tutorial 2,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/1,article
39,Physics,Thermodynamics,Thermodynamics Tutorial 3,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/2,article
40,Physics,Thermodynamics,Thermodynamics Tutorial 4,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/3,practice
41,Physics,Thermodynamics,Thermodynamics Tutorial 5,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/4,practice
42,Physics,Thermodynamics,Thermodynamics Tutorial 6,Complete explanation of Thermodynamics concepts for beginners,https://example.com/thermodynamics/5,practice
43,Physics,Optics,Optics Tutorial 1,Complete explanation of Optics concepts for beginners,https://example.com/optics/0,article
44,Physics,Optics,Optics Tutorial 2,Complete explanation of Optics concepts for beginners,https://example.com/optics/1,practice
45,Physics,Optics,Optics Tutorial 3,Complete explanation of Optics concepts for beginners,https://example.com/optics/2,article
46,Physics,Optics,Optics Tutorial 4,Complete explanation of Optics concepts for beginners,https://example.com/optics/3,practice
47,Physics,Optics,Optics Tutorial 5,Complete explanation of Optics concepts for beginners,https://example.com/optics/4,video
48,Physics,Optics,Optics Tutorial 6,Complete explanation of Optics concepts for beginners,https://example.com/optics/5,practice
49,Physics,Electromagnetism,Electromagnetism Tutorial 1,Complete explanation of Electromagnetism concepts for beginners,https://example.com/electromagnetism/0,video
50,Physics,Electromagnetism,Electromagnetism Tutorial 2,Complete explanation of Electromagnetism concepts for beginners,https://example.com/electromagnetism/1,video
51,Physics,Electromagnetism,Electromagnetism Tutorial 3,Complete explanation of Electromagnetism concepts for beginners,https://example.com/electromagnetism/2,practice
52,Physics,Electromagnetism,Electromagnetism Tutorial 4,Complete explanation of Electromagnetism concepts for beginners,https://example.com/electromagnetism/3,video
53,Physics,Electromagnetism,Electromagnetism Tutorial 5,Complete explanation of Electromagnetism concepts for beginners,https://example.com/electromagnetism/4,video
